Length	GCpercent	ACAUACU	ACAUAC	ACAUA	ACAU	ACA	GCGCGG	GCGCG	GCGC	Type
287	0.6689895470383276	0	0	0	0	2	0	0	1	3pUTR
1131	0.3041556145004421	0	0	2	6	19	0	0	0	3pUTR
1191	0.3056255247691016	0	0	2	6	21	0	0	0	3pUTR
1191	0.3056255247691016	0	0	2	6	21	0	0	0	3pUTR
106	0.46226415094339623	0	0	0	0	0	0	0	0	3pUTR
42	0.42857142857142855	0	0	0	0	0	0	0	0	3pUTR
103	0.4563106796116505	0	0	0	0	3	0	0	0	3pUTR
101	0.6831683168316832	0	0	0	1	5	0	0	0	3pUTR
101	0.6831683168316832	0	0	0	1	5	0	0	0	3pUTR
133	0.6090225563909775	0	0	0	0	1	0	0	0	3pUTR
82	0.6341463414634146	0	0	0	1	2	0	0	0	3pUTR
402	0.5597014925373134	0	0	0	2	4	0	0	1	3pUTR
128	0.5625	0	0	0	0	2	0	0	0	3pUTR
74	0.44594594594594594	0	0	0	0	2	0	0	0	3pUTR
55	0.5818181818181818	0	0	0	0	1	0	0	0	3pUTR
14	0.7142857142857143	0	0	0	0	0	0	0	0	3pUTR
14	0.7142857142857143	0	0	0	0	0	0	0	0	3pUTR
48	0.4375	0	0	0	0	0	0	0	0	3pUTR
1518	0.32806324110671936	0	0	4	12	27	0	0	0	3pUTR
123	0.3333333333333333	0	0	1	1	2	0	0	0	3pUTR
63	0.5238095238095238	0	0	0	0	0	0	0	0	3pUTR
68	0.5294117647058824	0	0	0	0	1	0	0	0	3pUTR
230	0.49130434782608695	0	0	0	0	0	0	0	0	3pUTR
230	0.49130434782608695	0	0	0	0	0	0	0	0	3pUTR
230	0.49130434782608695	0	0	0	0	0	0	0	0	3pUTR
44	0.3409090909090909	0	0	0	0	1	0	0	0	3pUTR
223	0.6547085201793722	0	0	0	1	4	0	0	0	3pUTR
30	0.4666666666666667	0	0	0	0	2	0	0	0	3pUTR
16	0.6875	0	0	0	0	0	0	0	0	3pUTR
1925	0.4296103896103896	2	3	4	13	41	0	0	3	3pUTR
30	0.4666666666666667	0	0	0	0	2	0	0	0	3pUTR
16	0.6875	0	0	0	0	0	0	0	0	3pUTR
47	0.6595744680851063	0	0	0	0	0	0	0	0	3pUTR
27	0.7407407407407407	0	0	0	0	0	0	0	0	3pUTR
283	0.4275618374558304	0	0	1	1	3	0	0	1	3pUTR
261	0.6091954022988506	0	0	0	2	6	0	0	2	3pUTR
390	0.4153846153846154	0	0	0	3	6	0	0	0	3pUTR
115	0.5130434782608696	0	0	1	3	3	0	0	0	3pUTR
187	0.6524064171122995	0	0	0	1	1	0	0	0	3pUTR
137	0.6861313868613139	0	0	0	0	1	0	0	0	3pUTR
91	0.45054945054945056	0	0	0	0	0	0	0	0	3pUTR
14	0.7142857142857143	0	0	0	0	0	0	0	0	3pUTR
32	0.53125	0	0	0	0	1	0	0	0	3pUTR
69	0.4782608695652174	0	0	0	0	2	0	0	0	3pUTR
46	0.34782608695652173	0	0	0	0	0	0	0	0	3pUTR
66	0.3484848484848485	0	0	0	0	2	0	0	0	3pUTR
33	0.5757575757575758	0	0	0	0	1	0	0	0	3pUTR
49	0.3877551020408163	0	0	0	0	1	0	0	0	3pUTR
73	0.6027397260273972	0	0	0	0	0	0	0	0	3pUTR
177	0.536723163841808	0	0	0	0	2	0	0	1	3pUTR
177	0.536723163841808	0	0	0	0	2	0	0	1	3pUTR
49	0.3877551020408163	0	0	0	0	1	0	0	0	3pUTR
58	0.46551724137931033	0	0	0	1	1	0	0	0	3pUTR
73	0.6027397260273972	0	0	0	0	0	0	0	0	3pUTR
38	0.3157894736842105	0	0	0	0	3	0	0	0	3pUTR
114	0.4473684210526316	0	0	0	0	1	0	0	0	3pUTR
76	0.4868421052631579	0	0	0	0	0	0	0	0	3pUTR
278	0.5323741007194245	0	0	0	0	3	0	0	0	3pUTR
5	0.4	0	0	0	0	1	0	0	0	3pUTR
40	0.35	0	0	0	0	0	0	0	0	3pUTR
59	0.6271186440677966	0	0	0	0	2	0	0	0	3pUTR
189	0.42328042328042326	0	0	0	0	2	0	0	0	3pUTR
55	0.5272727272727272	0	0	0	0	1	0	0	0	3pUTR
283	0.4840989399293286	0	0	0	1	3	0	0	0	3pUTR
244	0.48360655737704916	0	0	0	2	4	0	0	0	3pUTR
96	0.4166666666666667	0	0	0	0	3	0	0	0	3pUTR
2062	0.3913676042677013	0	0	4	12	50	0	0	0	3pUTR
220	0.4772727272727273	0	0	0	1	4	0	0	0	3pUTR
31	0.5806451612903226	0	0	0	0	0	0	0	0	3pUTR
36	0.5833333333333334	0	0	0	1	1	0	0	0	3pUTR
96	0.4166666666666667	0	0	0	0	3	0	0	0	3pUTR
73	0.5205479452054794	0	0	0	0	0	0	0	0	3pUTR
1584	0.6130050505050505	0	0	0	3	18	0	0	5	3pUTR
42	0.5476190476190477	0	0	0	0	2	0	0	0	3pUTR
10	0.5	0	0	0	1	1	0	0	0	3pUTR
47	0.574468085106383	0	0	0	0	1	0	0	1	3pUTR
17	0.5294117647058824	0	0	0	0	0	0	0	0	3pUTR
357	0.35294117647058826	0	0	0	1	4	0	0	0	3pUTR
296	0.3581081081081081	0	1	1	2	4	0	0	1	3pUTR
154	0.564935064935065	0	0	0	0	3	0	0	1	3pUTR
73	0.3698630136986301	0	0	0	1	1	0	0	0	3pUTR
206	0.5485436893203883	0	0	0	0	0	0	0	0	3pUTR
79	0.6582278481012658	0	0	0	0	0	0	0	0	3pUTR
486	0.30246913580246915	0	0	1	3	8	0	0	0	3pUTR
25	0.36	0	0	0	0	2	0	0	0	3pUTR
834	0.4136690647482014	0	0	0	2	11	0	0	2	3pUTR
1372	0.3607871720116618	0	1	3	7	21	0	0	1	3pUTR
185	0.23243243243243245	0	0	0	3	6	0	0	0	3pUTR
525	0.43238095238095237	0	0	0	3	8	0	0	0	3pUTR
545	0.5137614678899083	0	0	0	0	6	0	1	2	3pUTR
66	0.30303030303030304	0	0	0	1	1	0	0	0	3pUTR
88	0.42045454545454547	0	0	0	0	3	0	0	0	3pUTR
115	0.5130434782608696	0	0	0	0	0	0	0	0	3pUTR
4	0.5	0	0	0	0	1	0	0	0	3pUTR
